Event,Artist,Location,PressText,SourceURL
Klubnacht 2024-01-06,Tasha,Berghain,"Tasha: visiting from London, she is the creator of the Neighbourhood party series and label of the same name, which is guided by her musical development spanning the drum'n'bass of her formative years to the straight-ahead techno of today, issuing releases by Randomer, Forest Drive West and Reflec.",https://www.berghain.berlin/en/event/76268/
Klubnacht 2024-01-13,Azu Tiwaline,Berghain,"DJ/producer Azu Tiwaline lives in the desert region of el-Djerid in southern Tunisia, where she combines field recordings from her surroundings and elements of traditional Berber music with stripped-down, hypnotic techno grooves.",https://www.berghain.berlin/en/event/76286/
Klubnacht 2024-01-13,Abajour,Panorama Bar,"Making their premiere at Panorama Bar, meanwhile, is French DJ duo Abajour.",https://www.berghain.berlin/en/event/76286/
Klubnacht 2024-01-20,Reka Zalan,Berghain,"Over the past four years, she has been able to deepen her musical knowledge and hone her personal taste and style as co-organizer of the bi-monthly ://elements party at ://about blank, where she is also resident DJ and part of the booking team; as a member of the Coppi collective, a project space with weekly community-based studio sessions in an off-location at the border of Friedrichshain and Lichtenberg; and last but not least, as a staffer at legendary record store Hard Wax.",https://www.berghain.berlin/en/event/76299/
Klubnacht 2024-01-20,Alison Swing,Panorama Bar,"As DJ and organizer of the Dig Deeper party series, Alison Swing has helped shape the last decade of downtown Los Angeles' underground dance scene.",https://www.berghain.berlin/en/event/76299/
Klubnacht 2024-01-27,Lea Occhi,Berghain,"Spectrum Waves is a Parisian LGBTQ+ collective focusing on freedom, diversity and equality that regularly throws parties at the Gare des Mines, mailing featuring up-and-coming French and international FLINTA DJs, with part of the proceeds donated to charitable organizations.",https://www.berghain.berlin/en/event/76320/
Klubnacht 2024-01-27,Yes'in,Panorama Bar,"DJ Yes'in from Morocco will be making his return, mixing funk, disco, house and techno with organic grooves and a minimalist austerity.",https://www.berghain.berlin/en/event/76320/
Klubnacht 2024-02-03,Peter Van Hoesen,Berghain,"Van Hoesen, currently living in Ho Chi Min, adds crystalline bleeps and obscure industrial sounds to his dense, purist techno.",https://www.berghain.berlin/en/event/76344/
Klubnacht 2024-02-03,Daniel Bell,Panorama Bar,"This time, the Panorama Bar regular will be playing an extended closing set for the first time.",https://www.berghain.berlin/en/event/76344/
Klubnacht 2024-02-10,SORCERY,Berghain,"In his Sorcery project, he plays with a purely electronic setup and releases on labels such as ara, run by Kangding Ray.",https://www.berghain.berlin/en/event/77197/
Klubnacht 2024-02-10,Sepehr,Säule,"His own music ranges from aphrodisiac, slow-moving acid house to psychedelic drum cocktails, and on his label Shaytoon he mainly releases electronic music by artists from West Asia.",https://www.berghain.berlin/en/event/77197/
Klubnacht 2024-02-17,Rival Consoles,Säule,"In his debut appearance at Klubnacht, Rival Consoles will be presenting his captivating mix of ambient, electronic shoegaze and minimal techno live at Säule.",https://www.berghain.berlin/en/event/77198/
Klubnacht 2024-02-17,Antenes,Berghain,"Brooklyn-based DJ/producer Antenes' sets range from acid-heavy techno to shimmering electro and dark ambient sounds.",https://www.berghain.berlin/en/event/77198/
Klubnacht 2024-02-24,Volpe,Berghain,"His recently launched label Transcent has released The Soul Is Healed EP, a superb EP which that doesn’t shy away from the great dub techno tracks of that era, with its massive reverb, engaging chords and syncopated percussion.",https://www.berghain.berlin/en/event/77199/
Klubnacht 2024-02-24,Kenny Dope,Panorama Bar,"The son of Puerto Rican immigrants, he has released countless successful house remixes, whether solo or together with Little Louie Vega as Masters At Work, has been nominated for a Grammy four times, and is a gifted DJ and living encyclopaedia of beats – supa dope at Panorama Bar.",https://www.berghain.berlin/en/event/77199/
