artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
38,Partok,TrackID.net,https://trackid.net/audiostreams?keywords=Partok,13,Bassiani invites Partok / Podcast #279,BASSIANI,1:24:46,10/7/2025,10/15/2025,randyg1217,Ready,visible_search_page,
38,Partok,TrackID.net,https://trackid.net/audiostreams?keywords=Partok,13,Dekmantel Podcast 443 - Partok,dekmantel,1:14:34,10/3/2023,10/3/2023,phenrc,Ready,visible_search_page,
38,Partok,TrackID.net,https://trackid.net/audiostreams?keywords=Partok,13,HNYPOT 322: Partok's Red Pump Mix,˙º˚[•} p∫ £ ª†e∂˚º˙,1:01:02,6/6/2019,2/4/2025,Richardkind666,Ready,visible_search_page,
38,Partok,TrackID.net,https://trackid.net/audiostreams?keywords=Partok,13,IA MIX 366 Partok,INVERTED AUDIO,1:11:10,8/24/2022,2/3/2024,The-Groove-Bot,Ready,visible_search_page,
38,Partok,TrackID.net,https://trackid.net/audiostreams?keywords=Partok,13,Moxie w/ Partok 310124,NTS Latest,1:59:46,2/1/2024,2/2/2024,emweine,Ready,visible_search_page,
38,Partok,TrackID.net,https://trackid.net/audiostreams?keywords=Partok,13,Partok | Boiler Room: Amsterdam,Boiler Room,1:00:48,1/7/2025,3/9/2025,kamis888,Ready,visible_search_page,
38,Partok,TrackID.net,https://trackid.net/audiostreams?keywords=Partok,13,Partok | Boiler Room: Amsterdam,Boiler Room,1:00:49,1/8/2025,1/8/2025,JustusVR,Ready,visible_search_page,
38,Partok,TrackID.net,https://trackid.net/audiostreams?keywords=Partok,13,Partok... Is Burning #50,IsBurning,1:13:15,3/18/2020,5/7/2023,The-Groove-Bot,Ready,visible_search_page,
38,Partok,TrackID.net,https://trackid.net/audiostreams?keywords=Partok,13,Quarantine FM #32 Dr. Rubinstein & Partok,Dr. Rubinstein,1:41:20,4/22/2021,7/1/2025,Harshclo,Ready,visible_search_page,
38,Partok,TrackID.net,https://trackid.net/audiostreams?keywords=Partok,13,RA Live: LAUNDRETTE (Roi Perez b2b David Elimelech b2b Partok) @ GALA Festival 2025,Resident Advisor,2:15:28,6/12/2025,6/16/2025,desilvadj,Ready,visible_search_page,
38,Partok,TrackID.net,https://trackid.net/audiostreams?keywords=Partok,13,RA.599 Partok,Resident Advisor,1:15:56,11/20/2017,3/2/2023,The-Groove-Bot,Ready,visible_search_page,
38,Partok,TrackID.net,https://trackid.net/audiostreams?keywords=Partok,13,Radio 80000 x Blitz Take Over — Partok [31.10.20],BLITZ Club,1:00:45,10/30/2020,6/6/2023,The-Groove-Bot,Ready,visible_search_page,
38,Partok,TrackID.net,https://trackid.net/audiostreams?keywords=Partok,13,The Carry Nation with Partok @ The Lot Radio 05-29-2025_1,The Lot Radio,0:59:48,5/30/2025,5/30/2025,The-Groove-Bot,Ready,visible_search_page,
